record_id,month,origin,destination,od_distance_km,demand_segment,cabin,booking_class,fare_family,distribution_channel,agency_name,campaign_type,campaign_id,incentive_rate_pct,bookings,cancellations,pax_flown,avg_base_fare_usd,taxes_fees_usd,ancillary_rev_usd_per_pax,revenue_usd,competitor_airline,qr_market_share_pct,competitor_market_share_pct,share_gap_pct,load_factor_pct,on_time_performance_pct,cancellations_pct,cost_per_booking_usd,yield_usd_per_rpk,days_to_departure
8244,2024-08,MED,KWI,1006,Business,Business,I,Comfort,Direct,Qatar Airways Direct,None,,0,6,0,6,1174.49,37.05,37.37,7271.18,EY,26.95,14.87,-12.09,75.99,78.76,0,4.23,1.20463,8
6591,2025-03,RUH,ADD,2250,Business,Economy,Y,Elite,Direct,Qatar Airways Direct,None,,0,20,0,20,347.71,69.99,40.95,7773.13,FZ,32.19,38.91,6.72,72.15,69.85,0,2.69,0.17274,37
8848,2024-08,DMM,DFW,7597,Business,Business,C,Elite,OTA,MakeMyTrip,Tactical,TAC-2025-723,0.88,18,0,18,2706.12,169.02,44.69,49514.49,WY,27.15,56.93,29.79,84.75,92.71,0,9.26,0.36209,13
322,2024-07,DMM,BOS,9156,Business,Economy,Q,Comfort,OTA,MakeMyTrip,None,,1.7,23,1,22,923.16,228.74,31.59,21004.51,TK,25.75,21.92,-3.83,79.88,84.23,4.35,11.79,0.10428,14
2679,2024-10,DMM,CAI,2131,Pilgrimage,Business,D,Elite,Direct,Qatar Airways Direct,Structural,STR-2025-431,0,4,0,4,1197.81,90.92,47.12,4979.72,SV,28.66,13.08,-15.58,83.75,74.38,0,5.67,0.5842,32
4626,2024-07,DMM,BKK,8587,Leisure,Business,J,Elite,Direct,Qatar Airways Direct,Tactical,TAC-2024-441,0,9,0,9,3056.13,190.43,33.22,27804.22,TK,30.77,24.4,-6.37,79.29,77.18,0,4.56,0.35977,1
4950,2025-03,DMM,DAC,1613,Leisure,Economy,N,Comfort,GDS_Agency,Kanoo Travel,None,,2.32,14,0,14,240.33,64.08,11.67,3527.97,FZ,26.59,25.15,-1.44,76.65,72.97,0,16.54,0.15623,38
8329,2025-05,MED,DOH,1280,VFR,Business,I,Classic,OTA,Cleartrip,Structural,STR-2024-277,1.83,2,0,2,1118.14,76.85,43.49,2323.26,SV,38.74,51.43,12.69,90.59,80.64,0,10.68,0.90752,31
3338,2025-02,MED,MNL,6768,Business,Economy,Q,Comfort,OTA,Cleartrip,None,,0.94,25,1,24,648.56,171.97,25.29,16172.37,EK,66.01,23.04,-42.97,90.28,69.59,4,16.14,0.09956,6
5590,2024-07,DMM,ICN,10268,Business,Business,C,Comfort,GDS_Agency,Seera (Al Tayyar),None,,3.07,8,0,8,3421.36,261.87,31.71,27624.5,EY,39.34,45.91,6.57,83.3,77.39,0,14.72,0.33629,25
252,2025-05,MED,AUH,585,Leisure,Economy,Y,Elite,Direct,Qatar Airways Direct,None,,0,31,0,31,119.88,63.62,25.49,4506.41,WY,19.64,51.25,31.61,64.43,80.94,0,4,0.24849,17
3974,2025-04,RUH,KHI,2600,Leisure,Economy,T,Comfort,Direct,Qatar Airways Direct,Tactical,TAC-2025-100,0,21,0,21,370.98,94.8,40.17,8634.17,WY,23.85,34.73,10.87,81.31,87.58,0,5.37,0.15814,32
6631,2025-06,RUH,DEL,3000,Leisure,Economy,M,Classic,GDS_Agency,Kanoo Travel,None,,1.49,45,1,44,370.15,101.22,27.27,17486.56,WY,44.02,15.44,-28.58,69.64,77.87,2.22,12.99,0.13247,10
5548,2025-01,RUH,AMM,1330,Pilgrimage,Economy,T,Elite,GDS_Agency,Kanoo Travel,Structural,STR-2024-129,2.21,14,0,14,203.13,45.1,9.7,2979.57,EY,46.61,39.2,-7.4,78.54,87.9,0,9.59,0.16002,9
36,2024-10,JED,IST,2090,Business,Economy,N,Classic,Corporate_TMC,American Express GBT,None,,2.99,42,0,42,271.42,97.72,24.82,12441.97,EK,39.25,28.92,-10.33,80.91,77.71,0,8.56,0.14174,24
8363,2024-12,RUH,DXB,850,Leisure,Economy,M,Classic,Direct,Qatar Airways Direct,Tactical,TAC-2024-179,0,14,0,14,173.72,48.06,9.94,2571.16,WY,44.49,41.29,-3.21,81.57,88.17,0,2.21,0.21606,22
1514,2024-07,RUH,ADD,2250,VFR,Economy,M,Elite,OTA,Expedia,None,,0.36,9,0,9,289.47,66.07,23.09,2812.98,TK,29.34,33.13,3.79,86.91,80.89,0,10.73,0.13891,40
9318,2024-12,MED,ADD,2907,Leisure,Economy,M,Comfort,Direct,Qatar Airways Direct,None,,0,8,0,8,398.26,111.63,18.64,3335.21,TK,24.18,30.38,6.19,84.66,83.46,0,4.92,0.14341,51
40,2024-12,RUH,FRA,4500,VFR,Economy,T,Comfort,Corporate_TMC,Carlson Wagonlit,None,,2.07,29,0,29,385.21,114.76,17.02,11664.58,WY,39.79,39.29,-0.5,89.39,76.7,0,8.54,0.08938,12
4820,2024-12,MED,DOH,1280,Business,Economy,M,Elite,GDS_Agency,Seera (Al Tayyar),Tactical,TAC-2025-447,3.19,33,0,33,216.33,70.3,16.77,7692.21,WY,60.91,35.96,-24.94,77.02,85.75,0,16.9,0.18211,16
3466,2025-01,DMM,MCT,996,Student,Business,J,Classic,Direct,Qatar Airways Direct,Tactical,TAC-2024-621,0,4,0,4,958.06,66.98,47.51,4022.26,SV,19.43,41.44,22.01,72.85,91.32,0,2.44,1.0096,51
1761,2025-05,DMM,MCT,1586,Pilgrimage,Business,I,Comfort,GDS_Agency,Almosafer,None,,2.55,1,0,1,1509.47,81.31,60.04,1569.51,TK,37.56,17.47,-20.09,66.7,79.26,0,18.26,0.9896,34
2305,2025-05,MED,NRT,9299,Student,Business,I,Elite,GDS_Agency,Almosafer,None,,0.49,2,0,2,3201.33,213.96,49.94,6502.54,SV,48.77,42.2,-6.57,75.43,76.05,0,15.15,0.34964,22
3724,2024-07,JED,NRT,9552,Leisure,Economy,Q,Elite,Corporate_TMC,American Express GBT,None,,0.92,51,0,51,953.65,226.69,10.97,49195.93,WY,29.98,38.74,8.76,95,76.38,0,10.31,0.10099,25
8285,2025-02,RUH,NRT,9200,VFR,Business,D,Classic,Direct,Qatar Airways Direct,None,,0,5,0,5,3263.25,224.08,48.78,16560.19,EY,33.71,36.18,2.47,92.41,79.57,0,4.34,0.36,29
4994,2025-04,RUH,BKK,5560,VFR,Economy,Q,Comfort,Direct,Qatar Airways Direct,None,,0,18,0,18,539.32,137.14,27.9,10210.01,FZ,14.54,32.43,17.9,80.23,91.39,0,3.45,0.10202,40
8128,2024-12,MED,JNB,6891,Pilgrimage,Economy,N,Classic,Direct,Qatar Airways Direct,None,,0,10,0,10,709.95,183.75,41.03,7509.88,WY,43.08,25.13,-17.95,82.83,85.59,0,4.01,0.10898,26
3033,2025-03,MED,JFK,6670,Leisure,Economy,T,Classic,Direct,Qatar Airways Direct,None,,0,20,0,20,636.47,189.3,48.09,13691.04,WY,43.13,11.51,-31.62,84.69,86.16,0,2.61,0.10263,6
7939,2024-09,RUH,CAI,1640,Business,Economy,N,Classic,Direct,Qatar Airways Direct,None,,0,14,0,14,237.96,75.17,46.09,3976.69,WY,40.68,30.21,-10.46,78.44,83.36,0,5.42,0.1732,15
3040,2024-07,MED,ADD,1793,Business,Economy,M,Comfort,GDS_Agency,Kanoo Travel,None,,2.37,30,1,29,248.19,64.39,4.07,7315.57,FZ,48.04,22.44,-25.6,80.61,85.05,3.33,12.96,0.14069,5
9656,2025-06,JED,BKK,8827,Business,Economy,Q,Classic,GDS_Agency,Seera (Al Tayyar),None,,1.23,47,2,45,807.92,216.95,11.37,36867.95,WY,58.46,62.99,4.52,71.55,82.04,4.26,15.7,0.09282,24
2546,2024-12,MED,CDG,5339,Leisure,Economy,T,Comfort,GDS_Agency,Kanoo Travel,None,,2.27,30,1,29,516.9,148.24,7.63,15211.38,EY,55.88,37.56,-18.32,83.31,82.3,3.33,12.03,0.09825,34
2593,2025-06,DMM,MNL,10292,Business,Business,D,Comfort,GDS_Agency,Almosafer,Structural,STR-2024-698,1.69,27,1,26,3443.2,239.69,36.67,90476.49,EK,36.74,25.56,-11.18,83.23,83,3.7,14.47,0.33811,11
1189,2024-09,MED,AUH,472,Leisure,Economy,N,Elite,GDS_Agency,Kanoo Travel,None,,0.73,19,0,19,112.44,36.98,25.72,2625.01,TK,43.59,51.33,7.73,77.72,78.37,0,20.65,0.29271,36
7967,2024-08,MED,AMM,591,VFR,Economy,N,Comfort,Direct,Qatar Airways Direct,None,,0,22,0,22,154.05,52.61,17.66,3777.61,SV,30.31,20.81,-9.5,95,80.93,0,5.02,0.29054,25
6078,2024-07,MED,ADD,2731,Leisure,Economy,T,Classic,GDS_Agency,Kanoo Travel,None,,1.7,19,0,19,400.31,95.71,44.44,8450.18,WY,41.72,29.47,-12.25,70.65,86.19,0,10.58,0.16285,22
108,2025-06,MED,KHI,2064,VFR,Economy,N,Classic,GDS_Agency,Almosafer,None,,2.17,14,0,14,312.03,75.54,26.02,4732.74,EY,35.77,49.88,14.11,90.84,74.57,0,14.13,0.16379,11
1316,2025-05,RUH,MNL,7800,Leisure,Economy,Y,Elite,GDS_Agency,Seera (Al Tayyar),Structural,STR-2025-683,1.16,46,1,45,719.4,185.89,36.1,33997.34,EY,56.17,24.48,-31.7,78.93,88.9,2.17,15.05,0.09686,37
8188,2025-03,DMM,IST,2883,Leisure,Economy,T,Elite,Corporate_TMC,Carlson Wagonlit,None,,2.43,60,0,60,345.03,77.71,37.26,22937.45,EK,59.3,38.87,-20.43,83.32,79.12,0,9.37,0.1326,14
2754,2024-08,RUH,BKK,5560,Business,Economy,Q,Comfort,GDS_Agency,Seera (Al Tayyar),Tactical,TAC-2025-991,1.47,10,0,10,551.93,141.92,26.34,5782.75,EK,17.67,20.39,2.72,82.03,93.84,0,14.5,0.10401,9
9754,2024-10,JED,KHI,2039,Leisure,Business,C,Classic,Direct,Qatar Airways Direct,None,,0,7,0,7,1286.42,83.23,44.99,9319.9,EK,40.35,22.81,-17.54,73.86,82.64,0,5.84,0.65297,23
6232,2024-10,RUH,ISB,2700,VFR,Economy,Y,Classic,GDS_Agency,Seera (Al Tayyar),None,,1.23,6,0,6,311.18,92,21.49,1996.04,TK,34.11,34.4,0.29,76.2,79.18,0,11.89,0.12321,31
2877,2025-06,RUH,BKK,5560,Business,Business,D,Elite,Corporate_TMC,Carlson Wagonlit,None,,3.17,5,0,5,2067.58,158.92,54.17,10608.76,SV,18.25,48.34,30.09,87.5,80.35,0,7.05,0.38161,4
5324,2024-11,DMM,MCT,307,Leisure,Economy,T,Elite,GDS_Agency,Almosafer,None,,2.19,12,0,12,87.84,59.95,29.66,1409.93,EK,37.63,28.66,-8.97,79.88,88.22,0,15.2,0.38272,20
800,2025-02,JED,DFW,7121,Leisure,Economy,Q,Classic,OTA,Expedia,None,,1.51,75,4,71,767.44,167.98,7.91,55049.87,EK,49.25,46.94,-2.31,78.97,81.78,5.33,10.34,0.10888,18
3571,2024-08,RUH,MCT,1400,VFR,Economy,Y,Comfort,GDS_Agency,Almosafer,None,,2.73,11,0,11,211.26,53.2,1.3,2338.19,EY,55.89,61.9,6.01,87.21,80.31,0,16.03,0.15183,14
2895,2025-01,RUH,MNL,7800,Leisure,Economy,N,Elite,Direct,Qatar Airways Direct,None,,0,61,1,60,733.49,169.18,25.46,45537.21,SV,35.73,32.07,-3.66,86.15,71.12,1.64,4.65,0.0973,26
2928,2024-08,MED,DOH,1280,Pilgrimage,Economy,Y,Comfort,Direct,Qatar Airways Direct,None,,0,22,0,22,179.82,52.26,21,4418.08,TK,37.46,29.11,-8.35,80.81,77.4,0,2.83,0.15689,23
8179,2025-05,RUH,MCT,1400,Business,Economy,T,Comfort,OTA,MakeMyTrip,None,,0.44,14,0,14,282.41,56.93,10.75,4104.16,EK,39.03,51.17,12.14,94.41,77.89,0,11.57,0.2094,10
972,2025-03,DMM,DEL,2353,VFR,Economy,Q,Elite,GDS_Agency,Almosafer,None,,1.51,22,0,22,307.51,81.11,22.09,7251.18,FZ,36.3,17.93,-18.37,72.4,84.95,0,15.79,0.14008,10
6688,2025-06,MED,ADD,2323,Student,Economy,Y,Classic,GDS_Agency,Almosafer,None,,1.79,31,1,30,344.46,98.52,27.19,11149.44,FZ,52.48,46.27,-6.21,84.52,83.46,3.23,15.59,0.15999,23
8576,2025-02,MED,DXB,1300,Business,Economy,N,Elite,OTA,Expedia,None,,1.32,75,4,71,291.24,74.1,10.93,21453.64,FZ,39.47,51.55,12.08,85.36,87.19,5.33,10.72,0.23243,11
2021,2025-03,MED,BOS,6479,Business,Business,I,Classic,Direct,Qatar Airways Direct,None,,0,9,0,9,2613.48,170.77,35.48,23840.61,EY,34.69,32.67,-2.02,86.72,88.11,0,5.05,0.40885,9
9055,2024-12,MED,DFW,8631,Leisure,Economy,M,Elite,OTA,Expedia,None,,0.66,48,2,46,821.35,208.19,19.98,38701.48,SV,40.49,33.84,-6.65,85.44,77.44,4.17,10.37,0.09748,30
953,2024-09,DMM,JFK,9549,Leisure,Economy,N,Comfort,OTA,Cleartrip,None,,1.8,20,0,20,864.62,236.26,7.27,17437.8,FZ,60.46,35.81,-24.66,84.13,90.98,0,12.04,0.09131,17
5360,2024-09,MED,DAC,1630,Leisure,Economy,Y,Classic,GDS_Agency,Seera (Al Tayyar),None,,3.09,7,0,7,201.01,81.84,27.44,1599.17,EK,42.25,24.2,-18.05,80.54,89.65,0,12.04,0.14016,18
3858,2024-09,DMM,FRA,7201,VFR,Economy,T,Comfort,GDS_Agency,Seera (Al Tayyar),Tactical,TAC-2025-746,1.62,12,0,12,632.28,162.99,25.96,7898.88,EY,32.13,31.38,-0.75,83.8,87.68,0,9.19,0.09141,39
5862,2024-09,JED,JFK,10050,VFR,Economy,N,Classic,Direct,Qatar Airways Direct,Tactical,TAC-2024-920,0,11,0,11,912.31,246.07,18.36,10237.39,SV,41.3,47.74,6.44,75.74,77.56,0,4.45,0.0926,21
3146,2025-04,MED,KWI,1350,Business,Business,J,Elite,Direct,Qatar Airways Direct,None,,0,3,0,3,932.62,70.46,41.7,2922.96,TK,36.22,35.7,-0.53,84.46,79.23,0,3.9,0.72172,31
3306,2024-09,MED,DOH,1280,VFR,Business,I,Elite,Direct,Qatar Airways Direct,Tactical,TAC-2024-592,0,2,0,2,891.33,71.85,43.06,1868.77,SV,39.76,40.06,0.3,89.07,85.28,0,3.19,0.72999,30
3007,2025-02,JED,ICN,7269,Leisure,Economy,M,Classic,GDS_Agency,Kanoo Travel,None,,1.72,20,0,20,668.82,181.74,31.83,14013.06,SV,31.69,37.19,5.5,72.75,89.44,0,18.52,0.09639,33
9002,2025-04,RUH,MCT,1400,Leisure,Business,J,Classic,Corporate_TMC,CTM,None,,1.81,5,0,5,1039.35,78.52,40.49,5399.24,SV,47.9,44.7,-3.21,88.93,75.15,0,8.53,0.77132,30
7771,2025-04,JED,BKK,9704,Leisure,Economy,Q,Comfort,GDS_Agency,Kanoo Travel,None,,3.04,33,1,32,929.54,243.43,31.49,30752.73,EK,29.56,42.87,13.31,72.44,78.4,3.03,15.11,0.09903,37
7439,2025-04,DMM,BOS,7268,Business,Business,J,Comfort,GDS_Agency,Seera (Al Tayyar),None,,1.55,11,0,11,2619.29,190.96,58.01,29450.31,SV,39.94,24.54,-15.4,67.38,75.33,0,15.64,0.36837,23
7943,2024-08,RUH,BKK,5560,Business,Business,D,Elite,Corporate_TMC,Carlson Wagonlit,Tactical,TAC-2025-334,2.09,14,0,14,2141.96,155.79,37.71,30515.3,WY,35.5,23.52,-11.98,76.31,86.97,0,7.49,0.39203,34
9239,2024-09,RUH,LHR,4940,Business,Economy,Q,Classic,OTA,Cleartrip,None,,0.19,25,1,24,594.86,144.66,22.68,14821.06,EK,29.84,37.77,7.94,91.11,80.3,4,11.06,0.12501,29
1057,2024-12,RUH,FRA,4500,VFR,Economy,Y,Comfort,GDS_Agency,Kanoo Travel,None,,2.27,19,0,19,510.78,147.52,15.08,9991.45,FZ,34.84,5,-29.84,90.23,76.28,0,16.94,0.11686,27
3155,2025-02,MED,KUL,8988,Leisure,Business,I,Classic,GDS_Agency,Seera (Al Tayyar),None,,2.95,12,0,12,2902.11,205.1,34.43,35238.48,WY,61.68,54.57,-7.11,83.66,81.06,0,12.73,0.32672,27
3788,2024-11,JED,JNB,8811,Leisure,Economy,T,Classic,GDS_Agency,Seera (Al Tayyar),Tactical,TAC-2025-206,3.05,20,0,20,865.56,210.96,20.96,17730.32,SV,55.69,40.12,-15.57,85.28,85.94,0,14.66,0.10061,46
9190,2025-05,DMM,MCT,347,Leisure,Economy,Q,Comfort,Direct,Qatar Airways Direct,Structural,STR-2024-707,0,29,0,29,147.25,43.2,6.35,4454.51,EY,38.57,29.49,-9.08,67,96.66,0,4.79,0.44266,20
7826,2024-10,RUH,CDG,4800,Pilgrimage,Economy,M,Classic,Corporate_TMC,American Express GBT,None,,3.3,6,0,6,510.47,146.52,42.02,3314.95,SV,36.58,36.37,-0.21,81.13,84.56,0,10.31,0.1151,17
7540,2024-09,JED,AUH,1095,Leisure,Economy,T,Classic,GDS_Agency,Kanoo Travel,None,,2.99,33,1,32,264.98,42,19.26,9095.49,WY,37.47,29.4,-8.07,76.92,74.52,3.03,15.52,0.25957,36
7232,2024-10,RUH,DFW,5098,Business,Economy,T,Classic,Direct,Qatar Airways Direct,None,,0,20,0,20,523.62,141.81,12.96,10731.47,EK,38.68,46.98,8.3,76.56,82.48,0,4.7,0.10525,34
765,2024-07,DMM,MCT,1560,Business,Business,I,Comfort,Direct,Qatar Airways Direct,None,,0,12,0,12,1238.46,87.4,53.66,15505.44,EY,32.81,26.76,-6.05,86.07,69.75,0,4.44,0.82828,10
5020,2025-03,RUH,DXB,850,VFR,Business,J,Comfort,Direct,Qatar Airways Direct,None,,0,3,0,3,1113.01,63.37,43.35,3469.09,EK,25.87,23.43,-2.44,82.28,78.76,0,5.14,1.36043,33
4904,2025-03,JED,BOS,9063,Business,Economy,T,Comfort,GDS_Agency,Almosafer,None,,1.63,74,1,73,811.53,213.84,39.54,62128.02,EK,40.87,17.69,-23.19,87.63,71.97,1.35,18.61,0.09391,21
8094,2024-09,DMM,ORD,6260,Leisure,Business,J,Comfort,Direct,Qatar Airways Direct,None,,0,10,0,10,2421.11,170.16,26.63,24477.4,SV,29.01,19.99,-9.02,81.84,69.48,0,5.26,0.39101,40
6844,2025-03,DMM,MCT,1084,Business,Economy,Y,Comfort,GDS_Agency,Kanoo Travel,None,,3.26,51,2,49,172.85,70.77,14.77,9193.15,SV,47.38,23.74,-23.64,74.05,76.52,3.92,12.1,0.17308,19
2166,2024-10,JED,JFK,10050,Leisure,Economy,N,Comfort,Direct,Qatar Airways Direct,Tactical,TAC-2024-686,0,75,2,73,937.51,236.4,26.96,70406.42,SV,38.96,27.9,-11.05,78.19,88.91,2.67,3.73,0.09597,20
1863,2024-08,MED,IST,2400,Pilgrimage,Economy,Y,Elite,GDS_Agency,Almosafer,Tactical,TAC-2024-981,2.09,14,0,14,357.13,80.06,25.7,5359.64,EK,46.15,24.81,-21.35,85.29,82.7,0,15.89,0.15951,14
7851,2025-05,MED,ISB,2020,Business,Economy,T,Classic,GDS_Agency,Kanoo Travel,None,,2.19,26,0,26,271.23,91.64,19.75,7565.49,SV,28.34,31.81,3.47,83.53,84.64,0,17,0.14405,8
9124,2024-11,JED,AMM,822,Business,Economy,T,Classic,GDS_Agency,Kanoo Travel,Tactical,TAC-2024-725,2.64,13,0,13,203.16,59.08,29.6,3025.88,WY,35.37,23.84,-11.53,85.18,79.06,0,14.13,0.28316,15
2341,2024-07,DMM,DXB,550,Business,Economy,T,Classic,Direct,Qatar Airways Direct,Structural,STR-2025-864,0,33,0,33,141.22,54.08,4.5,4808.56,SV,46.29,32.86,-13.43,92.15,74.94,0,2.92,0.26493,1
5528,2024-09,MED,CAI,3021,Leisure,Economy,Q,Elite,OTA,MakeMyTrip,Structural,STR-2024-440,1.56,22,0,22,378.14,98.06,14.51,8638.37,WY,43.63,5,-38.63,76.35,86.45,0,11.41,0.12997,25
6744,2025-05,RUH,ORD,6012,VFR,Economy,N,Comfort,GDS_Agency,Kanoo Travel,None,,2,46,1,45,641.61,146.6,7.48,29208.87,FZ,28.26,31.25,3,62.57,82.9,2.17,13.32,0.10797,28
4004,2024-12,RUH,KUL,6550,Business,Economy,Y,Comfort,OTA,Cleartrip,None,,1.07,30,1,29,592.1,168.24,38.86,18297.64,WY,45.01,25.36,-19.66,90.69,81.21,3.33,11.98,0.09633,34
1124,2024-09,MED,KUL,6576,Pilgrimage,Economy,Y,Classic,GDS_Agency,Almosafer,None,,2.25,25,0,25,681.93,170.97,23.43,17634.18,SV,37,33.78,-3.22,76.17,82.52,0,14.28,0.10726,15
8710,2024-11,JED,CAI,2568,Business,Economy,T,Comfort,Corporate_TMC,American Express GBT,Tactical,TAC-2025-692,2.63,20,0,20,328.62,83.75,22.78,7027.97,TK,33.58,39.77,6.19,88.96,93.33,0,10.96,0.13684,1
